user_id,item_id,predicted_rating
9,123373,10.000000000000002
9,131533,10.000000000000002
9,137585,10.000000000000002
9,140321,10.000000000000002
9,149459,10.000000000000002
25,822724,10.000000000000002
25,883661,10.000000000000002
25,890105,10.000000000000002
25,1427750,10.000000000000002
25,1764436,10.000000000000002
35,212624,10.000000000000002
35,222318,10.000000000000002
35,293358,10.000000000000002
35,296430,10.000000000000002
35,408994,10.000000000000002
44,928269,10.000000000000002
44,1322538,10.000000000000002
44,127495,10.0
44,148089,10.0
44,206536,10.0
47,366475,10.000000000000002
47,468020,10.000000000000002
47,468314,10.000000000000002
47,555063,10.000000000000002
47,955151,10.000000000000002
82,141548,10.000000000000002
82,172027,10.000000000000002
82,227716,10.000000000000002
82,357231,10.000000000000002
82,478077,10.000000000000002
83,272842,10.000000000000002
83,854404,10.000000000000002
83,1110122,10.000000000000002
83,1294852,10.000000000000002
83,1354299,10.000000000000002
92,168610,10.000000000000002
92,2295650,10.000000000000002
92,123373,10.0
92,124204,10.0
92,126335,10.0
97,846699,10.000000000000002
97,123793,10.0
97,127865,10.0
97,131533,10.0
97,132738,10.0
101,175496,10.0
101,1477398,10.0
101,123373,0.0
101,123793,0.0
101,124204,0.0
127,329069,8.0
127,428942,8.0
127,463770,8.0
127,494731,8.0
127,668280,8.0
155,159931,10.000000000000002
155,168592,10.000000000000002
155,193179,10.000000000000002
155,374312,10.000000000000002
155,615644,10.000000000000002
160,147594,10.000000000000002
160,159931,10.000000000000002
160,362332,10.000000000000002
160,544964,10.000000000000002
160,985499,10.000000000000002
207,153475,10.000000000000002
207,226072,10.000000000000002
207,247125,10.000000000000002
207,317029,10.000000000000002
207,517802,10.000000000000002
214,125424,8.0
214,125465,8.0
214,126335,8.0
214,127081,8.0
214,127495,8.0
224,620288,10.000000000000002
224,700357,10.000000000000002
224,1043392,10.000000000000002
224,123793,10.0
224,124204,10.0
294,153475,10.000000000000002
294,624407,10.000000000000002
294,1504330,10.000000000000002
294,123793,10.0
294,124204,10.0
302,124204,10.000000000000002
302,1109803,10.000000000000002
302,123373,10.0
302,127865,10.0
302,131117,10.0
306,125424,10.000000000000002
306,507732,10.000000000000002
306,925665,10.000000000000002
306,1187659,10.000000000000002
306,1292293,10.000000000000002
318,126335,8.0
318,127865,8.0
318,135459,8.0
318,190529,8.0
318,199231,8.0
321,329400,10.000000000000002
321,369203,10.000000000000002
321,665175,10.000000000000002
321,831463,10.000000000000002
321,903647,10.000000000000002
329,123373,8.0
329,124204,8.0
329,124553,8.0
329,125424,8.0
329,125465,8.0
331,212624,10.000000000000002
331,325470,10.000000000000002
331,693185,10.000000000000002
331,974504,10.000000000000002
331,1090219,10.000000000000002
332,127081,10.000000000000002
332,131117,10.000000000000002
